day,district,description,rooms,m2,bathrooms,price,links,house_id
2023-12-29,porta-romana-medaglie-d-oro,"Apartment via Francesco Burlamacchi 3, Porta Romana - Medaglie d'Oro, Milan",5+,260m²,3,Price on application,https://www.immobiliare.it/en/annunci/107964387/,
2023-12-29,porta-romana-medaglie-d-oro,"Apartment at auction via Giuseppe Ripamonti 36, Milan",3,93m²,1,"from € 209,250.00",https://www.immobiliare.it/en/annunci/106599765/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat viale Monte Nero 31, Porta Romana - Medaglie d'Oro, Milan",2,45m²,1,"€ 375,000",https://www.immobiliare.it/en/annunci/106576699/,
2023-12-29,porta-romana-medaglie-d-oro,"3-room flat viale Monte Nero 31, Porta Romana - Medaglie d'Oro, Milan",3,110m²,2,"€ 750,000",https://www.immobiliare.it/en/annunci/106573833/,
2023-12-29,porta-romana-medaglie-d-oro,"Loft via San Rocco, Porta Romana - Medaglie d'Oro, Milan",2,95m²,2,"€ 645,000",https://www.immobiliare.it/en/annunci/106574309/,
2023-12-29,porta-romana-medaglie-d-oro,"4-room flat viale Filippetti, 28/a, Porta Romana - Medaglie d'Oro, Milan",4,171m²,2,"€ 1,199,000",https://www.immobiliare.it/en/annunci/106586157/,
2023-12-29,porta-romana-medaglie-d-oro,"Attic via Piacenza 8, Porta Romana - Medaglie d'Oro, Milan",2,85m²,1,"€ 299,000",https://www.immobiliare.it/en/annunci/108167527/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat via Gian Carlo Passeroni 6, Porta Romana - Medaglie d'Oro, Milan",2,76m²,1,"€ 550,000",https://www.immobiliare.it/en/annunci/106520159/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat piazza Trento 1, Porta Romana - Medaglie d'Oro, Milan",2,60m²,1,"€ 480,000",https://www.immobiliare.it/en/annunci/106486045/,
2023-12-29,porta-romana-medaglie-d-oro,"3-room flat via Francesco Burlamacchi 11, Porta Romana - Medaglie d'Oro, Milan",3,64m²,1,"€ 388,000",https://www.immobiliare.it/en/annunci/106687745/,
2023-12-29,porta-romana-medaglie-d-oro,"4-room flat piazza Medaglie D'Oro, Porta Romana - Medaglie d'Oro, Milan",4,145m²,2,"€ 990,000",https://www.immobiliare.it/en/annunci/108183397/,
2023-12-29,porta-romana-medaglie-d-oro,"3-room flat via Giulio Romano/Ripamonti, Bocconi, Milan",3,85m²,1,"€ 620,000€ 660,000(-6.1%)",https://www.immobiliare.it/en/annunci/108183409/,
2023-12-29,porta-romana-medaglie-d-oro,"3-room flat viale Monte Nero 5, Porta Romana - Medaglie d'Oro, Milan",3,116m²,2,"€ 780,000",https://www.immobiliare.it/en/annunci/107621589/,
2023-12-29,porta-romana-medaglie-d-oro,"Loft via Lodovico Muratori 42, Porta Romana - Medaglie d'Oro, Milan",2,74m²,1,"€ 195,000",https://www.immobiliare.it/en/annunci/106393889/,
2023-12-29,porta-romana-medaglie-d-oro,"3-room flat viale Umbria 25, Porta Romana - Medaglie d'Oro, Milan",3,82m²,1,"€ 459,000",https://www.immobiliare.it/en/annunci/106365897/,
2023-12-29,porta-romana-medaglie-d-oro,"Penthouse excellent condition, 100 m², Porta Romana - Medaglie d'Oro, Milan",3,100m²,2,"€ 1,000,000",https://www.immobiliare.it/en/annunci/106357905/,
2023-12-29,porta-romana-medaglie-d-oro,"4-room flat via Francesco Burlamacchi 11, Porta Romana - Medaglie d'Oro, Milan",4,150m²,2,"€ 1,150,000",https://www.immobiliare.it/en/annunci/106322277/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat via Francesco Burlamacchi 6, Porta Romana - Medaglie d'Oro, Milan",2,40m²,1,"€ 350,000",https://www.immobiliare.it/en/annunci/106197483/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat via Pier Lombardo 5, Porta Romana - Medaglie d'Oro, Milan",2,80m²,1,"€ 475,000",https://www.immobiliare.it/en/annunci/106148205/,
2023-12-29,porta-romana-medaglie-d-oro,"Studio viale Sabotino 8, Porta Romana - Medaglie d'Oro, Milan",1,42m²,1,"€ 390,000",https://www.immobiliare.it/en/annunci/106120845/,
2023-12-29,porta-romana-medaglie-d-oro,"3-room flat via Sigieri 22, Porta Romana - Medaglie d'Oro, Milan",3,70m²,2,"€ 548,000",https://www.immobiliare.it/en/annunci/106046493/,
