,day,description,rooms,m2,bathrooms,price,links
161,2023-12-29,"2-room flat via Amatore Antonio Sciesa 21, Montenero, Milan",2,45m²,1,"€ 320,000",https://www.immobiliare.it/en/annunci/107831845/
162,2023-12-29,"2-room flat viale Sabotino, Porta Romana - Medaglie d'Oro, Milan",2,66m²,1,"€ 479,000",https://www.immobiliare.it/en/annunci/107103933/
163,2023-12-29,"4-room flat via Friuli 82, Cadore, Milan",4,129m²,2,"€ 850,000",https://www.immobiliare.it/en/annunci/107096077/
164,2023-12-29,"3-room flat via Costanza Arconati 4, Martini - Insubria, Milan",3,75m²,1,"€ 495,000",https://www.immobiliare.it/en/annunci/108143367/
165,2023-12-29,"2-room flat via Antonio Fogazzaro 14, Montenero, Milan",2,48m²,1,"€ 349,000",https://www.immobiliare.it/en/annunci/107054925/
166,2023-12-29,"2-room flat viale Monte Nero, Montenero, Milan",2,45m²,1,"€ 395,000",https://www.immobiliare.it/en/annunci/108273851/
167,2023-12-29,"4-room flat via Verona 11, Porta Romana - Medaglie d'Oro, Milan",4,158m²,3,"€ 1,290,000",https://www.immobiliare.it/en/annunci/107032213/
168,2023-12-29,"4-room flat piazzale Libia 5, Porta Romana - Medaglie d'Oro, Milan",4,225m²,2,"€ 1,290,000",https://www.immobiliare.it/en/annunci/107019639/
169,2023-12-29,"3-room flat via Perugino 24, Cadore, Milan",3,104m²,2,"€ 750,000",https://www.immobiliare.it/en/annunci/107035461/
170,2023-12-29,"2-room flat via Verona, Porta Romana - Medaglie d'Oro, Milan",2,45m²,1,"€ 285,000",https://www.immobiliare.it/en/annunci/107040791/
171,2023-12-29,"2-room flat via Augusto Anfossi, Cadore, Milan",2,60m²,1,"€ 400,000",https://www.immobiliare.it/en/annunci/107038499/
172,2023-12-29,"Building via Verona 9, Porta Romana - Medaglie d'Oro, Milan",,,,"€ 2,700,000",https://www.immobiliare.it/en/annunci/107031159/
173,2023-12-29,"3-room flat viale Cirene 22, Porta Romana - Medaglie d'Oro, Milan",3,90m²,1,"€ 560,000",https://www.immobiliare.it/en/annunci/108193235/
